Model,Hotspot_%,Crimes_Captured,Total_Crimes,RRI,PAI,PEI
Best Lasso,5,308946,1138656,0.2713,5.4253,5.4253
Best Lasso, 10,429572,1138656,0.3773,3.7724,3.7724
Best Lasso, 20,595926,1138656,0.5234,2.6166,2.6166
Best Ridge, 5,308825,1138656,0.2712,5.4232,5.4232
Best Ridge, 10,429272,1138656,0.3770,3.7697,3.7697
Best Ridge, 20,595018,1138656,0.5226,2.6126,2.6126
"RF - 200 trees, depth=10, leaf=2",5,309001,1138656,0.2714,5.4263,5.4263
"RF - 200 trees, depth=10, leaf=2",10,430745,1138656,0.3783,3.7827,3.7827
"RF - 200 trees, depth=10, leaf=2",20,598082,1138656,0.5253,2.6261,2.6261
XGBoost - wide trees depth=7 LR=0.02 (iter=808),5,308968,1138656,0.2713,5.4257,5.4257
XGBoost - wide trees depth=7 LR=0.02 (iter=808),10,430904,1138656,0.3784,3.7841,3.7841
XGBoost - wide trees depth=7 LR=0.02 (iter=808),20,597812,1138656,0.5250,2.6249,2.6249
SARIMA - auto order AIC (per LSOA),5,261887,1032649,0.2536,5.0697,5.0697
SARIMA - auto order AIC (per LSOA),10,361431,1032649,0.3500,3.4977,3.4977
SARIMA - auto order AIC (per LSOA),20,498578,1032649,0.4828,2.4140,2.4140
"LSTM - attention (256->128->64 units, Huber)",5,301517,1135743,0.2655,5.3085,5.3085
"LSTM - attention (256->128->64 units, Huber)",10,420696,1135743,0.3704,3.7040,3.7040
"LSTM - attention (256->128->64 units, Huber)",20,585047,1135743,0.5151,2.5755,2.5755